query_string,query_length,has_where,has_group_by,has_order_by,has_like,row_count,execution_time_ms,is_slow_query
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,29.573440551757812,1
"SELECT status, COUNT(*) FROM customer_transactions GROUP BY status;",67,0,1,0,0,4,42.77467727661133,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,25.771141052246094,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,26.340007781982422,1
SELECT * FROM customer_transactions WHERE age > 20 AND status = 'pending' ORDER BY age ASC;,91,1,0,1,0,23825,158.54525566101074,1
SELECT * FROM customer_transactions ORDER BY transaction_amount DESC LIMIT 100;,79,0,0,1,0,100,27.18973159790039,1
SELECT * FROM customer_transactions WHERE age > 30;,51,1,0,0,0,79353,420.4554557800293,1
SELECT * FROM customer_transactions WHERE age > 30;,51,1,0,0,0,79353,419.50297355651855,1
SELECT * FROM customer_transactions WHERE age > 30;,51,1,0,0,0,79353,427.7491569519043,1
SELECT * FROM customer_transactions WHERE transaction_amount BETWEEN 100 AND 500;,81,1,0,0,0,7838,78.69839668273926,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,26.088953018188477,1
SELECT * FROM customer_transactions ORDER BY transaction_amount DESC LIMIT 100;,79,0,0,1,0,100,28.984785079956055,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,25.67744255065918,1
SELECT * FROM customer_transactions WHERE transaction_amount BETWEEN 100 AND 500;,81,1,0,0,0,7838,71.90299034118652,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,40.34066200256348,1
SELECT * FROM customer_transactions WHERE age > 20 AND status = 'pending' ORDER BY age ASC;,91,1,0,1,0,23825,203.75657081604004,1
SELECT * FROM customer_transactions WHERE transaction_amount BETWEEN 100 AND 500;,81,1,0,0,0,7838,100.16345977783203,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,31.5248966217041,1
SELECT * FROM customer_transactions ORDER BY transaction_amount DESC LIMIT 100;,79,0,0,1,0,100,31.146526336669922,1
SELECT * FROM customer_transactions WHERE age > 20 AND status = 'pending' ORDER BY age ASC;,91,1,0,1,0,23825,190.18054008483887,1
SELECT * FROM customer_transactions WHERE age > 30;,51,1,0,0,0,79353,459.9158763885498,1
SELECT * FROM customer_transactions WHERE age > 20 AND status = 'pending' ORDER BY age ASC;,91,1,0,1,0,23825,159.59835052490234,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,24.306774139404297,1
"SELECT status, COUNT(*) FROM customer_transactions GROUP BY status;",67,0,1,0,0,4,37.05620765686035,1
"SELECT status, COUNT(*) FROM customer_transactions GROUP BY status;",67,0,1,0,0,4,36.940574645996094,1
SELECT * FROM customer_transactions ORDER BY transaction_amount DESC LIMIT 100;,79,0,0,1,0,100,24.483919143676758,1
SELECT * FROM customer_transactions WHERE age > 20 AND status = 'pending' ORDER BY age ASC;,91,1,0,1,0,23825,150.0532627105713,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,24.15943145751953,1
SELECT customer_name FROM customer_transactions WHERE customer_name LIKE '%Smith%';,83,1,0,0,1,2132,23.438215255737305,1
